PLAN;PERIODE VON;PERIODE BIS;DIENST;BEGINN;ENDE;PAUSE;BEZAHLT;DAUER;VON;NACH;DIENSTART;ZUGNR;FZG;UMLAUF;KM;PERIODE;TAGESART;ABTEILUNG;MELDESTELLE;LINIE;DIENSTANMERKUNG;PLANANMERKUNG;ANMERKUNG
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;02:19;02:23;00:00;06:56;00:04;ANM.mr;ANM.mr;Anmeldung;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;02:23;02:29;00:00;06:56;00:06;ANM.mr;ANM.abs;Fußweg;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;02:29;02:59;00:00;06:56;00:30;ANM.abs;ANM.abs;V1;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;1. VT
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;02:59;03:29;00:00;06:56;00:30;ANM.abs;ANM.abs;V1;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;2. VT
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;03:29;03:31;00:00;06:56;00:02;ANM.abs;ANM.abs;Sonstige Arbeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;Bremsprobe
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;03:31;03:38;00:00;06:56;00:07;ANM.abs;ANM;Rangierfahrt;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;03:38;04:37;00:00;06:56;00:59;ANM;AHI;Leerfahrt;82080;648.TF:104;104;65591;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;99;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;04:37;04:40;00:00;06:56;00:03;AHI;AHI;Trennen;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;04:40;04:44;00:00;06:56;00:04;AHI;AHI;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;04:44;04:47;00:00;06:56;00:03;AHI;AHI;A3;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;wird 81834
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;04:47;04:51;00:00;06:56;00:04;AHI;AHI;Wendezeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;04:51;05:17;00:00;06:56;00:26;AHI;AHI;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;05:17;05:59;00:00;06:56;00:42;AHI;AHWT;Zugfahrt;81835;648.TF:106;106;40365;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;63;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;05:59;06:02;00:00;06:56;00:03;AHWT;AHWT;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;670;06:02;06:25;00:00;06:56;00:23;AHWT;AN;Zugfahrt;81835;648.TF:106;106;22953;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;63;-;-;-
