PLAN;PERIODE VON;PERIODE BIS;DIENST;BEGINN;ENDE;PAUSE;BEZAHLT;DAUER;VON;NACH;DIENSTART;ZUGNR;FZG;UMLAUF;KM;PERIODE;TAGESART;ABTEILUNG;MELDESTELLE;LINIE;DIENSTANMERKUNG;PLANANMERKUNG;ANMERKUNG
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;1:58;2:02;0:00;9:17;0:04;ANM.mr;ANM.mr;Anmeldung;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;2:02;3:02;0:00;9:17;1:00;ANM.mr;ANM.mr;Bereitschaft;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;3:02;3:08;0:00;9:17;0:06;ANM.mr;ANM.abs;Fußweg;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;3:08;3:38;0:00;9:17;0:30;ANM.abs;ANM.abs;V1;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;1. VT
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;3:38;4:08;0:00;9:17;0:30;ANM.abs;ANM.abs;V1;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;2. VT
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:08;4:15;0:00;9:17;0:07;ANM.abs;ANM;Rangierfahrt;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:15;4:19;0:00;9:17;0:04;ANM;AN;Leerfahrt;82081;648.TF:105;105;65591;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;99;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:19;4:26;0:00;9:17;0:07;AN;AN;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:26;4:30;0:00;9:17;0:04;AN;AN;Wendezeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:30;4:31;0:00;9:17;0:01;AN;AN;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:31;4:56;0:00;9:17;0:25;AN;ASB;Zugfahrt;82171;648.TF:102;102;45439;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;82;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:56;4:57;0:00;9:17;0:01;ASB;ASB;Trennen;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:57;4:59;0:00;9:17;0:02;ASB;ASB;A3;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;für 82171
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;4:59;5:01;0:00;9:17;0:02;ASB;ASB;Wendezeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;5:01;5:25;0:00;9:17;0:24;ASB;AN;Zugfahrt;82172;648.TF:105;105;45439;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;82;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;5:25;5:29;0:00;9:17;0:04;AN;AN;Wendezeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;5:29;5:35;0:00;9:17;0:06;AN;AN;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;5:35;5:59;0:00;9:17;0:24;AN;ASB;Zugfahrt;82173;648.TF:105;105;28673;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;82;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;5:59;6:03;0:00;9:17;0:04;ASB;ASB;Standzeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;6:03;6:20;0:00;9:17;0:17;ASB;AO;Zugfahrt;82173;648.TF:105;105;16766;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;82;-;-;-
2021_NN_Regeldienste_Sa;13.12.2020 00:00;11.12.2021 00:00;671;6:20;6:24;0:00;9:17;0:04;AO;AO;Wendezeit;;;;;13.12.2020 - 11.12.2021;-----X-;Tf ANM;;-;-;-;-
